Rank;Name;Code;Cap;Weight
1;Microsoft Corp;MSFT;904.86;0.096
2;Apple Inc;AAPL;895.67;0.095
3;Amazon.com Inc;AMZN;874.71;0.0928
4;Alphabet Inc;GOOG;815.67;0.0865
5;Berkshire Hathaway Inc;BRK-B;493.96;0.0524
6;Facebook Inc;FB;475.73;0.0505
7;Johnson & Johnson;JNJ;372.23;0.0395
8;Visa Inc;V;353.71;0.0375
9;Exxon Mobil Corp;XOM;342.17;0.0363
10;JPMorgan Chase & Co;JPM;331.45;0.0352
11;Walmart Inc;WMT;279.88;0.0297
12;Bank of America Corporation;BAC;265.94;0.0282
13;Procter & Gamble Co;PG;260.29;0.0276
14;Verizon Communications Inc;VZ;244.21;0.0259
15;Mastercard Inc;MA;241.55;0.0256
16;Intel Corp;INTC;241.49;0.0256
17;Cisco Systems Inc;CSCO;237.67;0.0252
18;UnitedHealth Group Inc;UNH;237.26;0.0252
19;Pfizer Inc;PFE;235.79;0.025
20;Chevron Corp;CVX;234.05;0.0248
21;AT&T Inc;T;228.62;0.0242
22;Wells Fargo & Co;WFC;219.47;0.0233
23;Boeing Co;BA;215.3;0.0228
24;Merck & Co Inc;MRK;214.68;0.0228
25;The Home Depot Inc;HD;211.83;0.0225
